0	0	10	20	30	40	50	60	70	80	90	100
0	1	1	0	0	0	0	0	0	0	0	0
4	0	1	1	0	0	0	0	0	0	0	0
8	0	1	1	0	0	0	0	0	0	0	0
12	0	1	1	1	0	0	0	0	0	0	0
16	0	1	1	1	0	0	0	0	0	0	0
20	0	1	1	1	1	0	0	0	0	0	0
24	0	1	1	1	1	0	0	0	0	0	0
28	0	1	1	1	1	0	0	0	0	0	0
32	0	1	1	1	1	1	0	0	0	0	0
36	0	1	1	1	1	1	0	0	0	0	0
40	0	0	1	1	1	1	1	0	0	0	0
44	0	0	1	1	1	1	1	0	0	0	0
48	0	0	1	1	1	1	1	0	0	0	0
52	0	0	1	1	1	1	1	1	0	0	0
56	0	0	1	1	1	1	1	1	0	0	0
60	0	0	1	1	1	1	1	1	1	0	0
64	0	0	1	1	1	1	1	1	1	0	0
68	0	0	1	1	1	1	1	1	1	0	0
72	0	0	1	1	1	1	1	1	1	1	0
76	0	0	1	1	1	1	1	1	1	1	0
80	0	0	0	1	1	1	1	1	1	1	1
84	0	0	0	1	1	1	1	1	1	1	1
88	0	0	0	1	1	1	1	1	1	1	1
92	0	0	0	1	1	1	1	1	1	1	1
96	0	0	0	1	1	1	1	1	1	1	1
100	0	0	0	1	1	1	1	1	1	1	1
104	0	0	0	1	1	1	1	1	1	1	1
