0	0	10	20	30	40	50	60	70	80	90	100
0	0	0	1	1	1	1	1	1	1	1	1
4	0	0	1	1	1	1	1	1	1	1	1
8	0	0	1	1	1	1	1	1	1	1	1
12	0	0	1	1	1	1	1	1	1	1	1
16	0	0	1	1	1	1	1	1	1	1	1
20	0	0	1	1	1	1	1	1	1	1	1
24	0	0	1	1	1	1	1	1	1	1	1
28	0	0	1	1	1	1	1	1	1	1	1
32	0	0	1	1	1	1	1	1	1	1	1
36	0	0	1	1	1	1	1	1	1	1	1
40	0	0	1	1	1	1	1	1	1	1	1
44	0	0	1	1	1	1	1	1	1	1	1
48	0	0	1	1	1	1	1	1	1	1	1
52	1	0	1	1	1	1	1	1	1	1	1
56	1	0	1	1	1	1	1	1	1	1	1
60	1	0	1	1	1	1	1	1	1	1	1
64	1	0	1	1	1	1	1	1	1	1	1
68	1	0	1	1	1	1	1	1	1	1	1
72	1	0	0	1	1	1	1	1	1	1	1
76	1	0	0	1	1	1	1	1	1	1	1
80	1	0	0	1	1	1	1	1	1	1	1
84	1	0	0	1	1	1	1	1	1	1	1
88	1	0	0	1	1	1	1	1	1	1	1
92	1	0	0	1	1	1	1	1	1	1	1
96	1	0	0	1	1	1	1	1	1	1	1
100	1	0	0	1	1	1	1	1	1	1	1
104	1	0	0	1	1	1	1	1	1	1	1
